120																																		
	Time	X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X3'	Y3'	Z3'	X6'	Y6'	Z6'									
121	1	-693.37836	1210.39197	885.47736	10.20465	3652.45508	758.72388	424.22263	3952.20776	822.80432	121.75722	3548.58789	1043.87073							1117.60099														
122	1.008	-693.35968	1210.50891	885.40692	8.92204	3649.375	757.51251	423.38541	3952.34106	822.89172	-547.0625	715.17944	997.98999	119.33778	3547.58472	1042.50671				1116.74509														
123	1.017	-693.31842	1210.50281	885.36395	7.30313	3647.83179	756.15625	423.30917	3953.03027	822.51013	-549.59821	712.93939	999.74432							1116.62759														
124	1.025	-693.36438	1210.56934	885.38251	6.17253	3646.59229	754.58417	422.94998	3953.4436	822.36877										1116.31436														
125	1.033	-693.35687	1210.45911	885.42291	422.71518	3953.95044	822.39661	-549.21661	713.45605	999.50134	111.22906	3547.51953	1037.75671							144.14026														
126	1.042	-693.34015	1210.3772	885.47089	108.42627	3547.05054	1036.30908	422.87967	3954.77441	822.28229	-552.39398	713.56177	1000.44849	3.03739	3643.3418	751.58154				1116.21982														
127	1.05	-693.33459	1210.47192	885.41046	105.71658	3546.7395	1035.07007	421.26138	3954.70166	822.64532	-551.91241	712.90161	1000.35974	-717.13861	1088.90967	906.10211	1.75299	3642.57764	750.18597	1114.59597														
128	1.058	-693.33344	1210.56604	885.38483	418.92081	3954.53662	822.9433	-547.65698	714.64984	998.66241	102.45286	3547.33228	1033.26831							145.67646														
129	1.067	-693.34668	1210.5166	885.40649	-1.61667	3640.45874	747.49524	418.24899	3955.15234	822.91406	99.57494	3547.42896	1032.13953							1111.59567														
130	1.075	-693.37323	1210.40247	885.43335	-3.13122	3639.80664	746.36523	418.43289	3956.13525	822.57263										1111.80612														
131	1.083	-693.3736	1210.39429	885.46283	-4.95267	3638.99731	745.00366	418.45462	3956.61279	822.26666	-550.79211	713.8667	999.70264	93.20688	3547.58813	1029.08057				1111.82822														
132	1.092	-693.33563	1210.49219	885.40472	-6.60543	3638.90698	744.00024	416.9816	3956.27808	822.39587	89.94846	3547.61523	1027.97131							1110.31723														
133	1.1	-693.32104	1210.5033	885.37329	416.83527	3956.94385	821.93823	-549.75818	714.93732	999.1366	86.80421	3547.46973	1026.70239							143.56286														
134	1.108	-693.33997	1210.44287	885.38977	-10.09809	3638.1123	741.64166	415.06665	3956.5459	822.08698	-548.82874	713.71503	998.95917							1108.40662														
135	1.117	-693.39581	1210.40857	885.5	412.99048	3956.19434	822.0246	80.08036	3548.03003	1024.5343										773.47617														
136	1.125	-693.3559	1210.37207	885.46033	-547.4411	715.41461	998.10571	410.95084	3955.88525	822.28101	-14.02518	3637.28442	739.80475	76.52145	3548.60107	1023.39832				1104.30674														
137	1.133	-693.34595	1210.5033	885.37347	-550.27618	713.36768	999.61041	409.87769	3955.802	822.15289	73.10135	3549.49731	1022.12976							1103.22364														
138	1.142	-693.28052	1210.49805	885.36621	409.27991	3955.96655	821.99255	-18.5431	3637.42407	737.80298	69.56802	3549.69482	1021.2962							674.73742														
139	1.15	-693.38409	1210.47693	885.4281	65.52675	3550.73364	1019.99548	409.44839	3956.61499	821.47913	-20.42588	3638.30469	736.88861							1102.83248														
140	1.158	-693.362	1210.4231	885.47699	61.96756	3550.91675	1018.94928	407.62787	3956.56494	821.61444	-22.71427	3637.90942	735.75391							1100.98987														
141	1.167	-693.32123	1210.42346	885.45709	406.79883	3956.95776	821.70129	-24.53572	3638.12085	734.88812	58.15023	3551.86279	1018.05548							668.78551														
142	1.175	-693.35815	1210.5094	885.40887	-549.18268	713.60083	999.12329	404.59985	3956.83203	821.73352	54.45802	3552.8103	1016.91394							1097.958														
143	1.183	-693.35254	1210.54138	885.35297	404.98019	3957.92383	821.52167	-29.91788	3640.99438	733.0274	50.77465	3553.4082	1016.27698							663.43466														
144	1.192	-693.30823	1210.48364	885.41229	-717.1048	1088.89575	905.29724	402.39227	3957.57861	821.8139	-24.37414	3645.61816	730.83826	-549.48309	713.3974	999.62036	47.31205	3553.8457	1015.39331	1095.7005														
145	1.2	-693.30133	1210.37756	885.48914	401.92279	3958.32446	821.77393	-551.40222	713.31183	1000.08197	-34.46034	3641.50024	731.27808	43.23305	3554.79443	1014.59613				141.89911														
146	1.208	-693.34442	1210.45532	885.44147	-717.02209	1089.31213	905.76489	401.67783	3959.17383	821.51086	-547.47729	715.41296	998.12079	-33.73391	3643.77051	731.11377	39.97188	3554.7605	1014.1073	1095.02225														
